player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
1,4,45,84.92001,34.07664,Character.FOX,Action.JUMPING_ARIAL_FORWARD,19,False,60.0,0,False,False,-0.8235156,0.0,0.054810654,0.10200435,0.04600002
2,4,12,56.29472,1e-04,Character.FALCO,Action.WALK_SLOW,2,True,60.0,2,True,False,0.28373408,0.28373408,0.0,0.0,0.0
1,4,45,84.12717,33.949722,Character.FOX,Action.JUMPING_ARIAL_FORWARD,20,False,60.0,0,False,False,-0.8235156,0.0,0.030670755,0.05707924,-0.18399999
2,4,12,56.638474,1e-04,Character.FALCO,Action.WALK_SLOW,3,True,60.0,2,True,False,0.34375268,0.34375268,0.0,0.0,0.0
1,4,45,83.31018,33.547874,Character.FOX,Action.JUMPING_ARIAL_FORWARD,21,False,60.0,0,False,False,-0.8235156,0.0,0.006530856,0.012154134,-0.41399997
2,4,12,57.04271,1e-04,Character.FALCO,Action.WALK_SLOW,4,True,60.0,2,True,False,0.4042368,0.4042368,0.0,0.0,0.0
1,4,45,82.486664,32.903873,Character.FOX,Action.JUMPING_ARIAL_FORWARD,22,False,60.0,0,False,False,-0.8235156,0.0,0.0,0.0,-0.644
2,4,12,57.508144,1e-04,Character.FALCO,Action.WALK_SLOW,6,True,60.0,2,True,False,0.46543607,0.46543607,0.0,0.0,0.0
1,4,45,81.66315,32.029873,Character.FOX,Action.JUMPING_ARIAL_FORWARD,23,False,60.0,0,False,False,-0.8235156,0.0,0.0,0.0,-0.874
2,4,12,58.035637,1e-04,Character.FALCO,Action.WALK_SLOW,8,True,60.0,2,True,False,0.5274924,0.5274924,0.0,0.0,0.0
